"BUILDING_NAME_ENG","BUILDING_ID","DISTRICT_CODE","SBBS_COVERAGE","FTTO_COVERAGE","BDEL_COVERAGE","HKBN_WTT_COVERAGE"
"","00090159",103,"N","N","N","N"
"SING KONG BUILDING","00090160",106,"N","N","N","N"
"","00090161",104,"N","N","N","N"
"","00090164",13,"N","N","N","N"
"","00090166",103,"N","N","N","N"
"","00090169",13,"N","N","N","N"
"","00090170",103,"N","N","N","N"
"","00090171",13,"N","N","N","N"
"","00090173",104,"N","N","N","N"
"","00090174",104,"N","N","N","N"
"","00090176",105,"N","N","N","N"
"26 D'AGUILAR STREET","00090177",105,"N","Y","N","N"
"","00090178",11,"N","N","N","N"
"","00090179",11,"N","N","N","N"
"","00090180",13,"N","N","N","N"
"","00090181",13,"N","N","N","N"
"","00090182",13,"N","N","N","N"
"","00090184",103,"N","N","N","N"
"","00090187",105,"N","N","N","N"
"","00090190",11,"N","N","N","N"
"","00090191",104,"N","N","N","N"
"","00090192",105,"N","N","N","N"
"","00090193",103,"N","N","N","N"
"","00090194",13,"N","N","N","N"
"","00090195",113,"N","N","N","N"
"","00090199",11,"N","N","N","N"
"","00090201",105,"N","N","N","N"
"TOKWAWAN MANSION","00090203",13,"N","N","N","N"
"","00090204",101,"N","N","N","N"
"","00090207",105,"N","N","N","N"
"","00090210",13,"N","N","N","N"
"","00090211",108,"N","N","N","N"
"","00090212",13,"N","N","N","N"
"","14102801",127,"N","N","N","N"
"","14102901",127,"N","N","N","N"
"","14103001",103,"N","Y","N","Y"
"","14103002",103,"N","Y","N","Y"
"","14103101",127,"N","Y","N","Y"
"","14103102",127,"N","Y","N","Y"
"","14103201",103,"N","N","N","N"
"MINERVA HOUSE","14103401",127,"N","N","N","N"
"","14103501",127,"N","N","N","N"
"","14103502",127,"N","N","N","N"
"KINGSFORD HEIGHT","14103701",127,"N","N","N","N"
"HING WAH MANSION","14103801",127,"N","N","N","N"
"","14103901",127,"N","N","N","N"
"HAMILTON COURT","14104001",127,"N","N","N","N"
"NAM WAH MANSION","14104101",127,"N","N","N","N"
"ALPINE COURT","14104201",127,"N","N","N","N"
"ELEGANT GARDEN","14104501",127,"N","N","N","N"
"HOI MING COURT","14104601",127,"N","N","N","N"
"","14104701",127,"N","N","N","N"
"","14104702",127,"N","N","N","N"
"","14104801",127,"N","N","N","N"
"","14104901",127,"N","N","N","N"
"GRAND COURT","14105001",127,"N","N","N","N"
"IHONG MANSION","14105301",127,"N","N","N","N"
"SUNG LING MANSION","14105601",127,"N","N","N","N"
"CAMBRIDGE GARDENS","14105701",127,"N","N","N","N"
"ALL FIT GARDEN","14105901",127,"N","N","N","N"
"BREEZY MANSION","14106101",127,"N","N","N","N"
"KINGSLAND COURT","14106401",127,"N","N","N","N"
"OLYMPIAN MANSION","14106801",127,"N","N","N","N"
"HATTON HOUSE","14107101",127,"N","N","N","N"
"GLORY HEIGHTS","14107501",127,"N","N","N","N"
"HANWIN MANSION","14108701",127,"N","N","N","N"
"","14108901",127,"N","N","N","N"
"","14109001",127,"N","N","N","N"
"","14109403",127,"N","N","N","N"
"","14109901",127,"N","N","N","N"
"ON FUNG BUILDING","14200501",104,"N","N","N","N"
"ROC YE COURT","14200801",127,"N","N","N","N"
"BELLA VISTA","14201001",127,"N","N","N","N"
"","14201201",127,"N","N","N","N"
"","14201202",127,"N","N","N","N"
"","14201601",103,"N","Y","N","Y"
"","14201602",103,"N","Y","N","Y"
"MEMO BUILDING","14202401",127,"N","N","N","N"
"","14202503",127,"N","Y","N","N"
"VILLA ELEGANCE","14202701",105,"N","N","N","N"
"PROSPEROUS HEIGHT","14202801",127,"N","N","N","N"
"SEYMOUR PLACE","14203001",127,"N","N","N","N"
"WEALTHY HEIGHTS","14203301",127,"N","Y","N","N"
"","14203402",103,"N","Y","N","Y"
"","14203501",127,"N","Y","N","N"
"VALIANT PARK","14203601",127,"N","N","N","N"
"","14203701",103,"N","N","N","N"
"","14203702",103,"N","N","N","N"
"THE REDNAXELA","14204101",104,"N","N","N","N"
"","14204301",127,"N","N","N","N"
"","14204501",127,"N","N","N","N"
"RIGHT MANSION","14204601",127,"N","N","N","N"
"","14204701",105,"N","Y","N","Y"
"","14204702",105,"N","Y","N","Y"
"","14204801",105,"N","N","N","N"
"WINDSOR COURT","14205201",127,"N","N","N","N"
"","14205402",128,"N","Y","N","N"
"","14205403",128,"N","Y","N","N"
"SCENIC RISE","14205501",127,"N","N","N","N"
"TAK MANSION","14205601",127,"N","N","N","N"
"FIRST MANSION","14205901",127,"N","N","N","N"
"","14206003",127,"N","N","N","N"
"CHATSWOOD VILLA","14206101",127,"N","N","N","N"
"MAXLUCK COURT","14206201",127,"N","N","N","N"
"","14206401",104,"N","N","N","N"
"","14206501",127,"N","Y","N","N"
"","14206502",127,"N","Y","N","N"
"","14206601",127,"N","N","N","N"
"SIU HANG HOUSE","42307502",210,"N","Y","N","Y"
"SIU SHUN HOUSE","42307503",210,"N","Y","N","Y"
"SIU FAI HOUSE","42307504",210,"N","Y","N","Y"
"SIU LOK HOUSE","42307505",210,"N","Y","N","Y"
"SIU LAI HOUSE","42307506",210,"N","Y","N","Y"
"SIU KEI HOUSE","42307507",210,"N","Y","N","Y"
"SIU NING HOUSE","42307508",210,"N","Y","N","Y"
"SIU TAI HOUSE","42307509",210,"N","Y","N","Y"
"SIU PING HOUSE","42307510",210,"N","Y","N","Y"
"SIU HO HOUSE","42307511",210,"N","Y","N","Y"
"SIU CHEONG HOUSE","42307512",210,"N","Y","N","Y"
"SIU YIN HOUSE","42307513",210,"N","Y","N","Y"
"SIU CHUN HOUSE","42307515",210,"N","Y","N","Y"
"SIU KIT HOUSE","42307516",210,"N","Y","N","Y"
"SIU WAI HOUSE","42307517",210,"N","Y","N","Y"
"SIU KIN HOUSE","42307518",210,"N","Y","N","Y"
"SIU WAH HOUSE","42307519",210,"N","Y","N","Y"
"SIU YAN HOUSE","42307520",210,"N","Y","N","Y"
"SIU WING HOUSE","42307521",210,"N","Y","N","Y"
"OI HEI HOUSE LOW BLOCK (FLAT 1-8, 16-22)","42402501",210,"N","Y","N","Y"
"","22807802",8,"N","Y","N","N"
"NO 240C (DD19 LOT337 A1&B) HANG HA PO","72403812",219,"N","Y","","N"
"","13124302",106,"","N","","Y"
"DD82 LOT629RP LEI UK","64102184",225,"N","Y","","N"
"DD82 LOT629 SA LEI UK","64102185",225,"N","Y","","N"
"OI MING HOUSE LOW BLOCK (FLAT 1-15)","42402503",210,"N","Y","N","Y"
"OI YEE HOUSE LOW BLOCK (FLAT 1-17)","42402504",210,"N","Y","N","Y"
"OI TAK HOUSE LOW BLOCK (FLAT 1-8, 16-22)","42402505",210,"N","Y","N","Y"
"OI CHI HOUSE LOW BLOCK (FLAT 1-15)","42402506",210,"N","Y","N","Y"
"OI LAI HOUSE LOW BLOCK (FLAT 9-15, 23-30)","42402508",210,"N","Y","N","Y"
"OI LOK HOUSE (FLAT 1-30)","42402509",210,"N","Y","N","Y"
"OI SHUN HOUSE","42402510",210,"N","Y","N","Y"
"OI YUNG HOUSE","42402511",210,"N","Y","N","Y"
"OI HEI HOUSE HIGH BLOCK (FLAT 9-15, 23-30)","42402513",210,"N","Y","N","Y"
"OI MING HOUSE HIGH BLOCK (FLAT 16-30)","42402514",210,"N","Y","N","Y"
"OI TAK HOUSE HIGH BLOCK (FLAT 9-15, 30-36)","42402515",210,"N","Y","N","Y"
"OI TAK HOUSE LOW BLOCK (FLAT 23-29, 37-44)","42402516",210,"N","Y","N","Y"
"OI CHI HOUSE HIGH BLOCK (FLAT 16-30)","42402517",210,"N","Y","N","Y"
"OI FAI HOUSE HIGH BLOCK (FLAT 1-8, 16-21)","42402518",210,"N","Y","N","Y"
"OI FAI HOUSE LOW BLOCK (FLAT 9-15, 29-36)","42402519",210,"N","Y","N","Y"
"OI LAI HOUSE HIGH BLOCK (FLAT 1-8, 16-22)","42402520",210,"N","Y","N","Y"
"OI LOK HOUSE (FLAT 31-60)","42402521",210,"N","Y","N","Y"
"OI LIM HOUSE HIGH BLOCK (FLAT 18-34)","42402522",210,"N","Y","N","Y"
"OI YEE HOUSE HIGH BLOCK (FLAT 18-34)","42402523",210,"N","Y","N","Y"
"TING PONG HOUSE","42405001",210,"N","Y","N","Y"
"TING LOK HOUSE","42405002",210,"N","Y","N","Y"
"TING YAU HOUSE","42405003",210,"N","Y","N","Y"
"TING HEI HOUSE","42405004",210,"N","Y","N","Y"
"TING MAN HOUSE","42405005",210,"N","Y","N","Y"
"TING CHI HOUSE","42405006",210,"N","Y","N","Y"
"TING YIN HOUSE","42405007",210,"N","Y","N","Y"
"TING ON HOUSE","42405008",210,"N","Y","N","Y"
"TING KAY HOUSE","42405009",210,"N","Y","N","Y"
"TING HOI HOUSE","42405010",210,"N","Y","N","Y"
"","42502702",210,"N","Y","N","Y"
"","42503401",210,"N","Y","N","Y"
"","42503402",210,"N","Y","N","Y"
"","42503403",210,"N","Y","N","Y"
"","42503404",210,"N","Y","N","Y"
"","42503405",210,"N","Y","N","Y"
"","42601101",210,"N","N","N","N"
"","42601102",210,"N","N","N","N"
"","42601103",210,"N","N","N","N"
"","42601104",210,"N","N","N","N"
"","42601105",210,"N","N","N","N"
"","42601106",210,"N","N","N","N"
"","42601107",210,"N","N","N","N"
"","42601108",210,"N","N","N","N"
"SANTORINI","42601109",210,"N","N","N","N"
"MIN KING HOUSE","42601601",210,"N","Y","N","Y"
"CHEUNG KING HOUSE","42601602",210,"N","Y","N","Y"
"PAK KING HOUSE","42601603",210,"N","Y","N","Y"
"KWAI KING HOUSE","42601604",210,"N","Y","N","Y"
"WAH KING HOUSE","42601605",210,"N","Y","N","Y"
"HANG KING HOUSE","42601606",210,"N","Y","N","Y"
"YEUNG KING HOUSE","42601607",210,"N","Y","N","Y"
"YEH KING HOUSE","42601608",210,"N","Y","N","Y"
"KIN KING HOUSE","42601609",210,"N","Y","N","Y"
"LAU KING HOUSE","42601610",210,"N","Y","N","Y"
"DD84 LOT 2 & 3 TAI PO TIN","95164164",225,"N","Y","","N"
"YUE KING HOUSE","42601611",210,"N","Y","N","Y"
"POSCO BUILDING","00005137",2,"N","Y","N","Y"
"","00090213",105,"N","N","N","N"
"PARK MANSION","00090214",25,"N","Y","N","Y"
"","00090215",105,"N","N","N","N"
"KIN HING HOUSE","00090216",105,"N","N","N","N"
"","00090220",103,"N","N","N","N"
"","00090221",103,"N","N","N","N"
"","00090222",105,"N","N","N","N"
"","00090224",105,"N","N","N","N"
"","00090225",13,"N","N","N","N"
"","00090227",13,"N","N","N","N"
"","00090229",106,"N","N","N","N"
"","00090230",11,"N","N","N","N"
"","00090231",105,"N","N","N","N"
"","00090237",105,"N","N","N","N"
"SZE CHUNG BUILDING","00090238",104,"N","N","N","N"
"","00090242",103,"N","N","N","N"
"","00090243",103,"N","N","N","N"
"","00090245",105,"N","N","N","N"
"","00090246",264,"N","N","N","N"
"","00090247",13,"N","N","N","N"
"","00090248",106,"N","N","N","N"
"","00090249",106,"N","N","N","N"
"LUEN FAT MANSION","00090252",13,"N","Y","N","N"
"","00090253",103,"N","N","N","N"
"","00090254",105,"N","N","N","N"
"","00090257",104,"N","N","N","N"
"","00090258",104,"N","N","N","N"
"","00090259",11,"N","N","N","N"
"LOT 620","51902001",211,"N","N","N","N"
"PING SHAN GARDEN","51902105",211,"N","N","N","N"
"","51902201",211,"N","N","N","N"
"","51902205",211,"N","N","N","N"
"LAM HAU YUEN","51902301",211,"N","N","N","N"
"","51902402",211,"N","N","N","N"
"HUNG FOOK BUILDING","51902601",211,"N","N","N","N"
"","51902701",211,"N","N","N","N"
"","51902802",211,"N","N","N","N"
"","51902804",211,"N","N","N","N"
"","51902806",211,"N","N","N","N"
"","51902808",211,"N","N","N","N"
"","51902809",211,"N","N","N","N"
"","51903001",211,"N","N","N","N"
"","51903201",211,"N","N","N","N"
"","51903202",211,"N","N","N","N"
"","51903303",211,"N","N","N","N"
"57 TONG YAN SAN TSUEN ROAD","51903501",211,"N","N","N","N"
"","51903712",211,"N","N","N","N"
"","51903716",211,"N","N","N","N"
"","51904001",211,"N","N","N","N"
"","51904002",211,"N","N","N","N"
"","51905001",211,"N","N","N","N"
"","51905002",211,"N","N","N","N"
"","51905003",211,"N","N","N","N"
"","51905004",211,"N","N","N","N"
"","51905005",211,"N","N","N","N"
"","51905006",211,"N","N","N","N"
"","51905009",211,"N","N","N","N"
"","51905010",211,"N","N","N","N"
"","14206701",127,"N","N","N","N"
"ARTS BUILDING","14206901",127,"N","N","N","N"
"FOOK KEE COURT","14207001",127,"N","N","N","N"
"","14207201",127,"N","N","N","N"
"","14207202",127,"N","N","N","N"
"CARLOS COURT","14207301",127,"N","N","N","N"
"","14207402",127,"N","N","N","N"
"PO YUEN BUILDING","14207501",105,"N","N","N","N"
"WOODLAND COURT","14207601",127,"N","N","N","N"
"CIMBRIA COURT","14207701",127,"N","N","N","N"
"YING FAI COURT","14208001",127,"N","N","N","N"
"HONG KONG GARDEN","14208101",127,"N","N","N","N"
"","14208201",127,"N","N","N","N"
"GARBLE GARDEN","14208401",127,"N","N","N","N"
"PRIMROSE COURT","14208501",127,"N","N","N","N"
"WOODLANDS TERRACE","14208601",127,"N","N","N","N"
"WINSOME PARK","14208701",127,"N","Y","N","N"
"GREEN FIELD COURT","14208801",127,"N","N","N","N"
"","14208901",128,"N","Y","N","N"
"","14208903",128,"N","Y","N","N"
"","14208904",128,"N","Y","N","N"
"SUSSEX COURT","14209201",127,"N","N","N","N"
"KA YEE COURT","14209301",127,"N","N","N","N"
"FLOURISH COURT","14209401",127,"N","Y","N","N"
"","14209501",127,"N","N","N","N"
"","14209601",127,"N","N","N","N"
"ARTS MANSION","14209701",105,"N","N","N","N"
"PALATIAL CREST","14209901",127,"N","Y","N","Y"
"WOODLANDS COURT","14210301",127,"N","N","N","N"
"CAINEWAY MANSIONS","14210501",127,"N","N","N","N"
"PANORAMA GARDENS","14210701",127,"N","Y","N","Y"
"","14210801",127,"N","N","N","N"
"CHATER HALL","14210901",127,"N","N","N","N"
"MERRY TERRACE","14211001",127,"N","N","N","N"
"","14211101",105,"N","N","N","N"
"VENICE COURT","14211603",127,"N","Y","N","Y"
"GOLDEN PAVILION","14211701",127,"N","N","N","N"
"CONDUIT TOWER","14211801",127,"N","Y","N","N"
"","14211901",127,"N","N","N","N"
"1 GARDEN TERRACE","14212001",127,"N","N","N","N"
"CASTLE VILLA","14212601",127,"N","N","N","N"
"EMERALD COURT","14213001",127,"N","N","N","N"
"SHERWOOD COURT","14213901",127,"N","N","N","N"
"SUNG TAK MANSION","14214801",127,"N","N","N","N"
"GOLDEN COURT","14215201",127,"N","N","N","N"
"GOOD VIEW COURT","14215301",127,"N","N","N","N"
"KING'S COURT","14215801",127,"N","N","N","N"
"ROBINSON CREST","14216101",127,"N","N","N","N"
"","14217101",127,"N","N","N","N"
"","14217401",127,"N","N","N","N"
"","14217702",127,"N","N","N","N"
"","14217801",127,"N","N","N","N"
"","14218302",127,"N","Y","N","N"
"33-35 SEYMOUR ROAD","14219501",127,"N","N","N","N"
"CASTLE TOWER","14219601",127,"N","N","N","N"
"","14219701",127,"N","N","N","N"
"BELGRAVIA","14300501",127,"N","N","N","N"
"ST JOAN COURT","14301301",127,"N","N","N","N"
"WING FOOK COURT","14302001",106,"N","N","N","N"
"WING HONG MANSION","14302101",127,"N","Y","N","N"
"KAM FAI MANSION","14302201",127,"N","Y","N","N"
"HILLVIEW","14302301",127,"N","N","N","N"
"EVA COURT","14302701",127,"N","Y","N","Y"
"ST. LOUIS MANSION","14302801",127,"N","Y","N","N"
"CAMELOT HEIGHTS","14303201",106,"N","N","N","N"
"GRAND BOWEN","14303401",105,"N","N","N","N"
"VISALIA GARDEN","14303501",127,"N","N","N","N"
"MACDONNELL HOUSE","14303601",127,"N","Y","N","Y"
"EWAN COURT","14303701",106,"N","N","N","N"
"PARK MANSIONS","14303801",127,"N","Y","N","Y"
"HONG VILLA","14304302",127,"N","N","N","N"
"VALVERDE","14307901",127,"N","N","N","N"
"BRANKSOME","14308401",127,"N","N","N","N"
"","14308601",127,"N","Y","N","N"
"","14308602",127,"N","Y","N","N"
"TAO KING HOUSE","42601612",210,"N","Y","N","Y"
"","42601901",210,"N","N","N","N"
"","42601902",210,"N","N","N","N"
"","42601903",210,"N","N","N","N"
"","42601904",210,"N","N","N","N"
"","42601906",210,"N","N","N","N"
"NO 20 SUN FUNG WAI","44101001",211,"N","N","N","N"
"NO 791 SUN FUNG WAI","44101002",211,"N","N","N","N"
"NO 22","44101405",210,"N","N","N","N"
"NO 430","44101406",210,"N","N","N","N"
"NO 346","44102201",211,"N","N","N","N"
"FORTUNE VILLA","44200501",210,"N","N","N","N"
"","32301502",202,"N","Y","N","Y"
"","32301702",202,"N","Y","N","Y"
"NO 50","32302104",202,"N","N","N","N"
"","32303201",202,"N","Y","N","Y"
"","32303202",202,"N","Y","N","Y"
"","32303203",202,"N","Y","N","Y"
"","32303204",202,"N","Y","N","Y"
"","32303205",202,"N","Y","N","Y"
"","32303206",202,"N","Y","N","Y"
"","32303207",202,"N","Y","N","Y"
"","32303208",202,"N","Y","N","Y"
"","32303209",202,"N","Y","N","Y"
"","32303211",202,"N","Y","N","Y"
"","32303212",202,"N","Y","N","Y"
"","32303214",202,"N","Y","N","Y"
"","32304403",202,"N","N","N","N"
"","32304808",202,"N","N","N","N"
"CHEONG LOCK MANSION","32401501",202,"N","N","N","N"
"","32402302",202,"N","Y","N","Y"
"KAM FUNG COURT","32402401",202,"N","N","N","N"
"","32403202",202,"N","Y","N","Y"
"","32403203",202,"N","Y","N","Y"
"","32404202",202,"N","N","N","N"
"","32407802",202,"N","N","N","N"
"","32408505",202,"N","Y","N","Y"
"","32408506",202,"N","Y","N","Y"
"","32408512",202,"N","Y","N","Y"
"","32408515",202,"N","Y","N","Y"
"","32408517",202,"N","Y","N","Y"
"","32410701",202,"N","N","N","N"
"","32410702",202,"N","N","N","N"
"CHEONG NING BUILDING","32410802",202,"N","N","N","N"
"","32411701",202,"N","Y","N","Y"
"","32411702",202,"N","Y","N","Y"
"","32411703",202,"N","Y","N","Y"
"FAR EAST BANK BUILDING","32415001",202,"N","N","N","N"
"KAM TSUEN MANSION","32415101",202,"N","N","N","N"
"TAK PO BUILDING","32415801",202,"N","N","N","N"
"","32416601",202,"N","N","N","N"
"CHEONG WAH COURT","32416801",202,"N","Y","N","Y"
"CHEONG FU COURT","32416802",202,"N","Y","N","Y"
"CHEONG KWAI COURT","32416803",202,"N","Y","N","Y"
"KWONG FAT BUILDING","32418502",202,"N","N","N","N"
"DD3 LOT349 SA & 349 SB LUK TEI TONG","96204042",318,"N","Y","","N"
"LAU KEUNG BUILDING","32419701",202,"N","N","N","N"
"KWAI SANG BUILDING","32420301",202,"N","N","N","N"
"","32420502",202,"N","N","N","N"
"","32420901",202,"N","N","N","N"
"","32421001",202,"N","N","N","N"
"","32421101",202,"N","N","N","N"
"","32421601",202,"N","N","N","N"
"","32421701",202,"N","N","N","N"
"","32421901",202,"N","N","N","N"
"","32422001",202,"N","N","N","N"
"CHIN LUNG BUILDING","32422101",202,"N","N","N","N"
"","32422201",202,"N","N","N","N"
"","32422301",202,"N","N","N","N"
"PEACE HOUSE","32422401",202,"N","N","N","N"
"","32423001",202,"N","N","N","N"
"KWAN SHING BUILDING","32423101",202,"N","N","N","N"
"KWAN SHING BUILDING","32423102",202,"N","N","N","N"
"","51905011",211,"N","N","N","N"
"NO 62A","51905209",211,"N","N","N","N"
"LOT 749","51905501",211,"N","N","N","N"
"","51906305",211,"N","N","N","N"
"","51906501",211,"N","N","N","N"
"LOT NO 402A HUNG SHUI KIU","51907901",211,"N","N","N","N"
"49 TSZ TONG TSUEN","52100302",211,"N","Y","N","N"
"","52100701",211,"N","N","N","N"
"GOLDEN FIELD VILLA","52100901",211,"N","Y","N","N"
"","52101205",211,"N","N","N","N"
"","52101303",211,"N","Y","N","N"
"FANTASY GARDEN","52101501",211,"N","N","N","N"
"GENUINE COURT","52101737",211,"N","Y","N","N"
"108 TAI HONG WAI","52101903",909,"N","Y","N","N"
"175 TAI HONG WAI","52101905",909,"N","Y","N","N"
"NO 322A","52200301",211,"N","N","N","N"
"NO 162A","52200302",211,"N","N","N","N"
"NO 318","52200303",211,"N","N","N","N"
"NO 198A","52200304",211,"N","N","N","N"
"NO 356","52200305",211,"N","N","N","N"
"NO 4","52200309",211,"N","N","N","N"
"NO 238F","52200310",211,"N","N","N","N"
"NO 150","52200401",211,"N","N","N","N"
"NO 68A","52200501",211,"N","N","N","N"
"NO 36","52200502",211,"N","N","N","N"
"NO 69A","52200503",211,"N","N","N","N"
"NO 51","52200504",219,"N","N","N","N"
"NO 290D","52200601",211,"N","N","N","N"
"230 PAK SHA TSUEN","52200602",211,"N","N","N","N"
"NO 239","52200612",211,"N","N","N","N"
"NO 87","52200701",211,"N","N","N","N"
"NO 51-54","52200702",211,"N","N","N","N"
"NO 120C","52200801",211,"N","N","N","N"
"NO.131A","52200802",211,"N","N","N","N"
"","52200915",211,"N","N","N","N"
"","52201017",211,"N","N","N","N"
"NO 110B","52201101",211,"N","N","N","N"
"NO 240","52201102",211,"N","N","N","N"
"LEE TAK GARDEN","52201201",211,"N","N","N","N"
"","52201328",211,"N","N","N","N"
"NO 93","52201801",211,"N","N","N","N"
"SHUI CHIU SUN LAU","52202501",211,"N","N","N","N"
"NO 102","52202901",211,"N","N","N","N"
"DD119","52205101",211,"N","N","N","N"
"HOUSE 24A","52300502",211,"N","Y","N","N"
"NO 24","52300701",211,"N","N","N","N"
"","52300901",211,"N","N","N","N"
"","52300902",211,"N","N","N","N"
"IN KEEN GARDEN","52301106",211,"N","N","N","N"
"","52401102",211,"N","Y","N","Y"
"","52401402",211,"N","N","N","N"
"","52401403",211,"N","N","N","N"
"","52401801",211,"N","Y","N","Y"
"","52401802",211,"N","Y","N","Y"
"LEN SHING MANSION","52402401",211,"N","N","N","N"
"","52403601",211,"N","Y","N","Y"
"","52403602",211,"N","Y","N","Y"
"TUNG YIK BUILDING","52404801",211,"N","N","N","N"
"YICK FAI BUILDING","52404901",211,"N","N","N","N"
"YIK FAT BUILDING","52405001",211,"N","N","N","N"
"YUEN LONG KIN FAI BUILDING","52405101",211,"N","N","N","N"
"YUK LUNG MANSION","52405301",211,"N","N","N","N"
"","52405501",211,"N","N","N","N"
"CHEONG SING BUILDING","52405701",211,"N","N","N","N"
"SHUN FUNG BUILDING","52405901",211,"N","N","N","N"
"","52406101",211,"N","N","N","N"
"","52406102",211,"N","N","N","N"
"","52406103",211,"N","N","N","N"
"","52406401",211,"N","Y","N","Y"
"","52406402",211,"N","Y","N","Y"
"","52406403",211,"N","Y","N","Y"
"","52406404",211,"N","Y","N","Y"
"","52406405",211,"N","Y","N","Y"
"","52406406",211,"N","Y","N","Y"
"","14308603",127,"N","Y","N","N"
"","14308604",127,"N","Y","N","N"
"CLAYMORE LODGE","14403601",107,"N","Y","N","Y"
"","14403701",107,"N","N","N","N"
"THE CAROLINE GARDEN","14404301",108,"N","N","N","N"
"HAPPY COURT","14404601",106,"N","N","N","N"
"THE FINE MANSION","14405901",107,"N","Y","N","N"
"","14406201",107,"N","Y","N","Y"
"","14406203",107,"N","Y","N","Y"
"","14406301",107,"N","Y","N","Y"
"","14406302",107,"N","Y","N","Y"
"WAH CHI MANSION","14406401",107,"N","N","N","N"
"","14406701",107,"N","N","N","N"
"","14407001",107,"N","N","N","N"
"VALLEY VIEW TERRACE","14407101",107,"N","N","N","N"
"KING-INN MANSION","14407201",107,"N","N","N","N"
"GREEN VIEW MANSION","14407501",107,"N","N","N","N"
"SHING PING MANSION","14407701",107,"N","N","N","N"
"YICKS VILLA","14408001",107,"N","N","N","N"
"H & S BUILDING","14408502",106,"N","N","N","N"
"MAYFAIR COURT","14408801",107,"N","N","N","N"
"LE CACHET","14408901",107,"N","N","N","N"
"","52600601",211,"N","N","N","N"
"","52600604",211,"N","N","N","N"
"","52600607",211,"N","N","N","N"
"LOT 633 DD109","52600701",211,"N","N","N","N"
"NO 21D SHUI TAU","52600705",211,"N","N","N","N"
"106 KAM TIN SHI","52600801",909,"N","Y","N","N"
"11 KAM TIN SHI","52600802",909,"N","Y","N","N"
"1 KAM TIN SHI","52600803",909,"N","Y","N","N"
"VILLATIC GARDEN","52601102",909,"N","N","N","N"
"SHUI MEI TSUEN","52601201",211,"N","N","N","N"
"NO 26 KO PO TSUEN","52601602",211,"N","Y","N","N"
"","52701503",211,"N","N","N","N"
"LUCKY MANSION","52702801",211,"N","Y","N","Y"
"YEN TSUI GARDEN","52703001",211,"N","N","N","N"
"YUEN LONG PLAZA","52703101",211,"N","Y","N","N"
"","52703501",211,"N","N","N","N"
"","52703502",211,"N","N","N","N"
"","52703503",211,"N","N","N","N"
"","52703504",211,"N","N","N","N"
"","52703505",211,"N","N","N","N"
"","52703601",211,"N","N","N","N"
"","52703701",211,"N","Y","N","Y"
"","52703702",211,"N","Y","N","Y"
"ON LEE BUILDING","52704001",211,"N","N","N","N"
"","52704201",211,"N","Y","N","Y"
"","52704202",211,"N","Y","N","Y"
"","52704203",211,"N","Y","N","Y"
"","52704204",211,"N","Y","N","Y"
"","52704207",211,"N","Y","N","Y"
"","52704208",211,"N","Y","N","Y"
"HANG FU BUILDING","52704401",211,"N","N","N","N"
"KIN SHING BUILDING","52704501",211,"N","N","N","N"
"TUNG FAT BUILDING","52704601",211,"N","N","N","N"
"KIN WAI BUILDING","52704701",211,"N","N","N","N"
"FUK YIP BUILDING","52704801",211,"N","N","N","N"
"FULL YAU COURT","52704901",211,"N","N","N","N"
"HO CHOI BUILDING","52705001",211,"N","N","N","N"
"","52705201",211,"N","Y","N","Y"
"","52705203",211,"N","Y","N","Y"
"SIU KING BUILDING","52705401",211,"N","N","N","N"
"NO 16","52705501",211,"N","N","N","N"
"NO 135","52705502",211,"N","N","N","N"
"NO 139","52705503",211,"N","N","N","N"
"NO. 21D TUNG TAU TSUEN","52705505",211,"N","N","N","N"
"NO 30B","52705509",211,"N","N","N","N"
"HO KING BUILDING","52705601",211,"N","N","N","N"
"YUEN SAN BUILDING","52705701",211,"N","N","N","N"
"YEE HONG BUILDING","52705801",211,"N","N","N","N"
"SHUN FAT BUILDING","52705901",211,"N","N","N","N"
"","52706001",211,"N","N","N","N"
"","52706002",211,"N","N","N","N"
"","52706003",211,"N","N","N","N"
"","52706201",211,"N","N","N","N"
"LUEN WO BUILDING","32423201",202,"N","N","N","N"
"","32423301",202,"N","N","N","N"
"SHUN HING BUILDING","32423401",202,"N","N","N","N"
"","32423501",202,"N","N","N","N"
"","32423601",202,"N","N","N","N"
"","32423701",202,"N","N","N","N"
"","32423801",202,"N","N","N","N"
"TIM WAH BUILDING","32424001",202,"N","N","N","N"
"TIM WAH BUILDING","32424002",202,"N","N","N","N"
"TIM WAH BUILDING","32424003",202,"N","N","N","N"
"","32424101",202,"N","N","N","N"
"","32424401",202,"N","N","N","N"
"","32424501",202,"N","N","N","N"
"","32424601",202,"N","N","N","N"
"","32424701",202,"N","N","N","N"
"CHEONG HEI MANSION","32424801",202,"N","N","N","N"
"SAM WO BUILDING","32425101",202,"N","N","N","N"
"TAK YAN BUILDING STAGE 2","32425201",202,"N","N","N","N"
"","32425401",202,"N","N","N","N"
"KAPOK MANSION","32425901",202,"N","N","N","N"
"","32426101",202,"N","N","N","N"
"","32426201",202,"N","N","N","N"
"KWONG FAT BUILDING","32426501",202,"N","N","N","N"
"","32426901",202,"N","N","N","N"
"TOWER EAST (A1)","32427201",202,"N","Y","N","Y"
"TOWER SOUTH (A2)","32427202",202,"N","Y","N","Y"
"TOWER WEST (B1)","32427203",202,"N","Y","N","Y"
